SOURCE PKS0408-65 4.13900 -65.75249
COEFF 7.0000000000000000e+00 1.5000000000000000e+01 -8.3929132512353090e-08
COEFF 7.0000000000000000e+00 1.6000000000000000e+01 -4.7268648806635619e-07
COEFF 7.0000000000000000e+00 1.7000000000000000e+01 4.3083634470567420e-07
COEFF 7.0000000000000000e+00 1.8000000000000000e+01 1.5679647773386445e-07
COEFF 8.0000000000000000e+00 0.0000000000000000e+00 2.2688376481893483e-06
COEFF 8.0000000000000000e+00 1.0000000000000000e+00 -2.3450811192290682e-06
COEFF 8.0000000000000000e+00 2.0000000000000000e+00 -1.5363299575922763e-06
COEFF 8.0000000000000000e+00 3.0000000000000000e+00 8.4630927676033492e-07
COEFF 8.0000000000000000e+00 4.0000000000000000e+00 3.4888954412468900e-07
COEFF 8.0000000000000000e+00 5.0000000000000000e+00 -3.2553221465882256e-07
COEFF 8.0000000000000000e+00 6.0000000000000000e+00 1.7235637508437636e-07
COEFF 8.0000000000000000e+00 7.0000000000000000e+00 2.4067670792809588e-07
COEFF 8.0000000000000000e+00 8.0000000000000000e+00 -2.7066989540615052e-07
COEFF 8.0000000000000000e+00 9.0000000000000000e+00 -2.5397025833063013e-07
COEFF 8.0000000000000000e+00 1.0000000000000000e+01 2.3991188580667171e-07
COEFF 8.0000000000000000e+00 1.1000000000000000e+01 2.4088581736558223e-07
COEFF 8.0000000000000000e+00 1.2000000000000000e+01 -2.1863006392521391e-07
COEFF 8.0000000000000000e+00 1.3000000000000000e+01 -1.7279422330736400e-07
COEFF 8.0000000000000000e+00 1.4000000000000000e+01 2.2790452505006518e-07
COEFF 8.0000000000000000e+00 1.5000000000000000e+01 5.2707059151484218e-08
COEFF 8.0000000000000000e+00 1.6000000000000000e+01 -2.3831796541811604e-07
COEFF 8.0000000000000000e+00 1.7000000000000000e+01 9.0934758904803700e-08
COEFF 9.0000000000000000e+00 0.0000000000000000e+00 1.7841449850701329e-06
COEFF 9.0000000000000000e+00 1.0000000000000000e+00 -1.1779881743008414e-06
COEFF 9.0000000000000000e+00 2.0000000000000000e+00 7.3969520536594222e-07
COEFF 9.0000000000000000e+00 3.0000000000000000e+00 2.2676518522592530e-07
COEFF 9.0000000000000000e+00 4.0000000000000000e+00 -9.8962211383385574e-07
COEFF 9.0000000000000000e+00 5.0000000000000000e+00 5.6494368849526616e-07
COEFF 9.0000000000000000e+00 6.0000000000000000e+00 5.6719040473480370e-07
COEFF 9.0000000000000000e+00 7.0000000000000000e+00 -8.4942240058129268e-07
COEFF 9.0000000000000000e+00 8.0000000000000000e+00 -1.1413524741236128e-07
COEFF 9.0000000000000000e+00 9.0000000000000000e+00 7.2330027721764911e-07
COEFF 9.0000000000000000e+00 1.0000000000000000e+01 -1.4527045496047346e-07
COEFF 9.0000000000000000e+00 1.1000000000000000e+01 -3.9310854736379570e-07
